CODE,8B_BYTE,H_A,A_H,RD_M(a_j),RD_P(a_j),RD_M_HEX,RD_P_HEX
D21_4,95,10010101,10101001,1010101101,1010100010,2AD,2A2
D22_4,96,10010110,01101001,0110101101,0110100010,1AD,1A2
D23_4,97,10010111,11101001,1110100010,0001011101,3A2,5D
D24_4,98,10011000,00011001,1100110010,0011001101,332,CD
D25_4,99,10011001,10011001,1001101101,1001100010,26D,262
D26_4,9A,10011010,01011001,0101101101,0101100010,16D,162
D27_4,9B,10011011,11011001,1101100010,0010011101,362,9D
D28_4,9C,10011100,00111001,0011101101,0011100010,ED,E2
D29_4,9D,10011101,10111001,1011100010,0100011101,2E2,11D
D30_4,9E,10011110,01111001,0111100010,1000011101,1E2,21D
D31_4,9F,10011111,11111001,1010110010,0101001101,2B2,14D
D0_5,A0,10100000,00000101,1001111010,0110001010,27A,18A
D1_5,A1,10100001,10000101,0111011010,1000101010,1DA,22A
D2_5,A2,10100010,01000101,1011011010,0100101010,2DA,12A
D3_5,A3,10100011,11000101,1100011010,1100011010,31A,31A
D4_5,A4,10100100,00100101,1101011010,0010101010,35A,AA
D5_5,A5,10100101,10100101,1010011010,1010011010,29A,29A
D6_5,A6,10100110,01100101,0110011010,0110011010,19A,19A
D7_5,A7,10100111,11100101,1110001010,0001111010,38A,7A
D8_5,A8,10101000,00010101,1110011010,0001101010,39A,6A
D9_5,A9,10101001,10010101,1001011010,1001011010,25A,25A
D10_5,AA,10101010,01010101,0101011010,0101011010,15A,15A
D11_5,AB,10101011,11010101,1101001010,1101001010,34A,34A
D12_5,AC,10101100,00110101,0011011010,0011011010,DA,DA
D13_5,AD,10101101,10110101,1011001010,1011001010,2CA,2CA
D14_5,AE,10101110,01110101,0111001010,0111001010,1CA,1CA
D15_5,AF,10101111,11110101,0101111010,1010001010,17A,28A
D16_5,B0,10110000,00001101,0110111010,1001001010,1BA,24A
D17_5,B1,10110001,10001101,1000111010,1000111010,23A,23A
D18_5,B2,10110010,01001101,0100111010,0100111010,13A,13A
D19_5,B3,10110011,11001101,1100101010,1100101010,32A,32A
D20_5,B4,10110100,00101101,0010111010,0010111010,BA,BA
D21_5,B5,10110101,10101101,1010101010,1010101010,2AA,2AA
D22_5,B6,10110110,01101101,0110101010,0110101010,1AA,1AA
D23_5,B7,10110111,11101101,1110101010,0001011010,3AA,5A
D24_5,B8,10111000,00011101,1100111010,0011001010,33A,CA
D25_5,B9,10111001,10011101,1001101010,1001101010,26A,26A
D26_5,BA,10111010,01011101,0101101010,0101101010,16A,16A
D27_5,BB,10111011,11011101,1101101010,0010011010,36A,9A
D28_5,BC,10111100,00111101,0011101010,0011101010,EA,EA
D29_5,BD,10111101,10111101,1011101010,0100011010,2EA,11A
D30_5,BE,10111110,01111101,0111101010,1000011010,1EA,21A
D31_5,BF,10111111,11111101,1010111010,0101001010,2BA,14A
D0_6,C0,11000000,00000011,1001110110,0110000110,276,186
D1_6,C1,11000001,10000011,0111010110,1000100110,1D6,226
D2_6,C2,11000010,01000011,1011010110,0100100110,2D6,126
D3_6,C3,11000011,11000011,1100010110,1100010110,316,316
D4_6,C4,11000100,00100011,1101010110,0010100110,356,A6
D5_6,C5,11000101,10100011,1010010110,1010010110,296,296
D6_6,C6,11000110,01100011,0110010110,0110010110,196,196
D7_6,C7,11000111,11100011,1110000110,0001110110,386,76
D8_6,C8,11001000,00010011,1110010110,0001100110,396,66
D9_6,C9,11001001,10010011,1001010110,1001010110,256,256
D10_6,CA,11001010,01010011,0101010110,0101010110,156,156
D11_6,CB,11001011,11010011,1101000110,1101000110,346,346
D12_6,CC,11001100,00110011,0011010110,0011010110,D6,D6
D13_6,CD,11001101,10110011,1011000110,1011000110,2C6,2C6
D14_6,CE,11001110,01110011,0111000110,0111000110,1C6,1C6
D15_6,CF,11001111,11110011,0101110110,1010000110,176,286
D16_6,D0,11010000,00001011,0110110110,1001000110,1B6,246
D17_6,D1,11010001,10001011,1000110110,1000110110,236,236
D18_6,D2,11010010,01001011,0100110110,0100110110,136,136
D19_6,D3,11010011,11001011,1100100110,1100100110,326,326
D20_6,D4,11010100,00101011,0010110110,0010110110,B6,B6
D21_6,D5,11010101,10101011,1010100110,1010100110,2A6,2A6
D22_6,D6,11010110,01101011,0110100110,0110100110,1A6,1A6
D23_6,D7,11010111,11101011,1110100110,0001010110,3A6,56
D24_6,D8,11011000,00011011,1100110110,0011000110,336,C6
D25_6,D9,11011001,10011011,1001100110,1001100110,266,266
D26_6,DA,11011010,01011011,0101100110,0101100110,166,166
D27_6,DB,11011011,11011011,1101100110,0010010110,366,96
D28_6,DC,11011100,00111011,0011100110,0011100110,E6,E6
D29_6,DD,11011101,10111011,1011100110,0100010110,2E6,116
D30_6,DE,11011110,01111011,0111100110,1000010110,1E6,216
D31_6,DF,11011111,11111011,1010110110,0101000110,2B6,146
D0_7,E0,11100000,00000111,1001110001,0110001110,271,18E
D1_7,E1,11100001,10000111,0111010001,1000101110,1D1,22E
D2_7,E2,11100010,01000111,1011010001,0100101110,2D1,12E
D3_7,E3,11100011,11000111,1100011110,1100010001,31E,311
D4_7,E4,11100100,00100111,1101010001,0010101110,351,AE
D5_7,E5,11100101,10100111,1010011110,1010010001,29E,291
D6_7,E6,11100110,01100111,0110011110,0110010001,19E,191
D7_7,E7,11100111,11100111,1110001110,0001110001,38E,71
D8_7,E8,11101000,00010111,1110010001,0001101110,391,6E
D9_7,E9,11101001,10010111,1001011110,1001010001,25E,251
D10_7,EA,11101010,01010111,0101011110,0101010001,15E,151
D11_7,EB,11101011,11010111,1101001110,1101001000,34E,348
D12_7,EC,11101100,00110111,0011011110,0011010001,DE,D1
D13_7,ED,11101101,10110111,1011001110,1011001000,2CE,2C8
D14_7,EE,11101110,01110111,0111001110,0111001000,1CE,1C8
D15_7,EF,11101111,11110111,0101110001,1010001110,171,28E
D16_7,F0,11110000,00001111,0110110001,1001001110,1B1,24E
D17_7,F1,11110001,10001111,1000110111,1000110001,237,231
D18_7,F2,11110010,01001111,0100110111,0100110001,137,131
D19_7,F3,11110011,11001111,1100101110,1100100001,32E,321
D20_7,F4,11110100,00101111,0010110111,0010110001,B7,B1
